@relation weka_SO_comments_model

@attribute text string
@attribute @@class@@ {good,bad}

@data
'boy am i stupid. i mean, wow, that was a major oversight. let\'s blame it on monday.',good
'as usual, you\'re as useful as hell. you won\'t believe how much i love your answers.',good
'thanks aaron, the way you put it was super easy to understand. haters gonna hate',good
'dangerous, you don\'t know it is ..',good
'you can\'t disable it. people can get to your source at any time, whatever you do. don\'t waste your time.',good
'i think you\'re one of those people who read code as you were reading your native language. very talented coder, stars!',good
'i\'m pretty sure the sun doesn\'t really talk about anything, let alone thread states.',good
'you\'re too kind, i enjoy helping others, and answering these questions keeps my skills sharp. bring \'em on.',good
'i am just a beginner trying my hand at vba scripting, i don\'t really understand you here, sorry',good
'and chepner. you guys are scary good at bash.',good
'still a duplicate even if you don\'t like the answers. you can give a better answer on the duplicate question if you like.',good
'does anybody know the answer to my nd question? i dont think its',good
'im still being shut out by the twitter api due to their limitations. sounds like you\'re not supposed to be doing this.',good
'i don\'t why people are not give reply to my question',good
'wow, you guys are so awesome. i really want to take my skill set to the next level and without these resources i would be totally lost if folks like you didn\'t answer the call.',good
'xp home edition sp',good
'white space should be ignored.',good
'are you guys still letting people join the r chatroom?',good
'good effort. the more time i spend with git, the more i like my dog. -',good
'really? lol, you are killing me.',good
'nothing. google bought firebase and renamed gcm to fcm. a long time ago gcm was called cdm',good
'holly crap.',good
'ahead of you?',good
'hi your not just helping me, but also all others that will see this question through google. thanks that you take your time to help others.',good
'try to kill activity like getactivity.finish',good
'more information, suddenly my ad placements have get back to enabled for testing only . what the hell is doing facebook?',good
'oh smart smart all i really need is the atmidnight',good
'aw crap. you\'re right.',good
'no no no no no matlabic please. hell no.',good
'are you sure you don\'t have some implicit hanging around in the repl scope? i don\'t get the diverging implicit error.',good
'wow i feel like a dumbass. thanks for the find.',good
'important restart solr. restart solr. restart solr. many guides don\'t tell you that and i spent hours like an idiot editing config files for nothing.',good
'i was a moron and failed to proofread my alteration of the query from so\'s environment. see my update.',good
'no problem .. btw the callback hell is truly a hell',good
'bro let\'s say im getting nb of males and females from db and im drawing it.',good
'you can\'t reuse it if you either shut it down or close it. you have to create a new one.',good
'damn i dont even know what i dont know. please dont downvote me to hell p',good
'a downvote because you dislike rectangular selection? you gotta be kidding me. shakes head',good
'man, someone is on a downvote spree this morning p',good
'i\'m voting to close this question as off-topic because it\'s not a programming question.',good
'i had all these crazy ideas about prefetchrelated and selectrelated. thought it was so hard.',good
'i\'ve heard you can.',good
'patience my friend, i always do',good
'hahahaha. wait is too bad thing',good
'that\'s like saying they should meet at mcdonalds, but sure',good
'oh jeez. can\'t believe i didn\'t see that. i\'ll go sit in the corner now',good
'no problem man, happy to hear that i\'ve helped you!',good
'you\'re right nice !',good
'i dont believe i can download such things on a school computer',good
'could someone say why i got down voted, constructive critic is good',good
'who among us didn\'t make a noob mistake in our lives?',good
'thanks! i didn\'t pause before programming to realize i was needing the cartesian product, i shall hang my head in shame lol!',good
'sorry what do u mean',good
'thank u .',good
'i want script secure script to uploads my files with data base',good
'even in the last few weeks, i found they are updating their poor documents after the revolution happened on apis',good
'i have tried these, they don\'t scroll in one-go. i mean they can stop in the middle',good
'oh my god! i didn\'t notice that, i guest that maybe i didn\'t focus enough. so funny! i thought that there must be something bigger.',good
'or, we could just throw in the towel.',good
'thats what he wants p',good
'means like tabs fragments but i am making hotel app just like roomstonite',good
'all right sir thank u',good
'my fault. it\'s too early. i\'ll delete my comment.',good
'you are too much awesome.',good
'why you dont want to go with picasso?',good
'may i know why it is down voted.?',good
'do you have any integration recommendation on how to pull star rating from app store and googleplay?',good
'thank you, i hate it when it happens',good
'can u tell me how to do that',good
'thats too bad!',good
'excellent! i always forget about quantifiers.',good
'you guy rock more than a little! effectively, that was the problem and that was something i didn\'t know. i will go to bed tonight less ignorant! thanks again!.',good
'why are you people giving me -s?',good
'wow pro well done',good
'im on mobile now, i ll explain in a while..',good
'github is you friend. and look for projects called floatingactionbutton.',good
'same words as u said before last two days. anyhow, i am waiting.',good
'no mate, i was busy from last days.',good
'oh sorry just a moment i think i know why you dont .',good
'my pleasure, have fun',good
'np, i mean you are giving attention with me.that\'s why i\'m saying like that.',good
'can i manage these sockets with my databse?',good
'done all of these',good
'i used what u said simply just wasn\'t that what you advised me?',good
'why the down vote? i always enjoy joe blow\'s colorful answers with unity life lesson. i have certainly learnt a lot from him.',good
'google is your friend',good
'when all of the higher priorities have been addressed. sometimes that it is a couple of days. sometimes it is a couple of months - sometimes the lower priority projects become burning priorities. sometimes all of the higher priority projects are delaye.',good
'all i did was the usual uninstall. i\'ll try that when i get home.',good
'oh im not too sure about that sorry',good
'okay. what you need is to employ a team of a few dozen people to watch every live football match probably several times and comprehensively obtain these statistics on each player.',good
'- yep. i am so stupid d',good
'even if .floor is . why isnt the first term showing? thats the th spot',good
'all of the major css frameworks are modular these days. getbootstrap.comcustomize lets you pull out just the grid system easily, which winds up about kb minified and gzipped.',good
'not at all , jsf is tricky for first time , but by the time she will teach you to do magic',good
'is the image already black and white?',good
'well that escalated quickly, we just have to get along guys, and enjoy life',good
'hope your day gets better man..',good
'i cant yet. my account is to new. sry',good
'oh right, i thought he was just asking what a lambda is. whatever.',good
'ohh great finnaly i got it thank you so much for u r support',good
'penguin.square.ch here you go thats what i got so far',good
'ok i will put his up',good
'is almost always ugly anyway',good
'now weird thing happens. screencast.comtffjbzq i went from home to about and then contact. and it is listing all headings down..',good
'also i am a he',good
'i\'m gonna try it in couple of minutes,',good
'you\'re right my friend. my bad',good
'hi i try it this but i missid up many times, i cant fix it textuploader.comny',good
'if they can wait for the night, why can\'t they wait until the park opens?',good
'im new to programing im only',good
'google is your friend',good
'never knew about that site \'till now. thanks!',good
'. didn\'t they stop their services?',good
'i am happy',good
'you certainly rock man, any paypal to buy you a beer?',good
'oh my god, i just spent hours of my life with a stupid syntax error. thank you.',good
'oh ok nice thanks d .. like i already said .. im a completely noob in this whole programmingwebdesigning world. you saved my day.',good
'im sorry, i never really knew what super was for. reading and tesing this out. thanks!',good
'you are a fucking genius, and i\'m a retard xd thank you so much man xd',good
'why? you said you dont want them pushing',good
'hey yeah, it\'s been a while. hope all\'s good with you.',good
'i really hate to say this but this is already that test project you are talking about. now i go and pull my hair out. thanks.',good
'can he do things like that even with ssl?',good
'yeah i think so too. for now i am gonna drop this idea.',good
'thanks! i love it',good
'oh, i\'m sure you\'re a nice person person and nobody would get fired over one . right?.. i get your point and i\'d say that\'s what comments are for.',good
yeah,good
'you da man -',good
'this guy is genius',good
'haha megan, i hope it\'s free i may just take you up on that! lol',good
'oh, i know.just sayin\'. and if fredd doesn\'t cover you, you can always be my wingman.',good
'thank you. i\'m an idiot.',good
'that was it. i\'m an idiot.',good
'no, they all said nothing was set up were empty.',good
'how do you know he never committed his work? hold off on the burial until you know the patient is dead.',good
'i guess that didnt work? lol',good
'white yeah, i see what i did now. it\'s been a long day and i feel stupid for missing the initialization to being the issue.',good
'gonna try it tommorrow, thx',good
'that\'s awesome, i will play with it and let you know!',good
'oh wow is there a trade-off between being immutable and being fast? elm-lang.orgblogannounce.. elm is very much a work in progress, i still like it very much',good
'can you see your dag when u make a ?',good
'sorry n. - no love for the get lol! - thanks again but don\'t know what to do',good
'aha of cause.thanks.i was so lame',good
'it is like applying watch over',good
'julian day is day of year and goes from to',good
'god bless you man!',good
'he called .',good
'arif nouman khan no they are not present there, that is why im really worried, all my hardwork is gone.',good
'still no need of switch, it depends on her how she is going to handle that.',good
'happy coding',good
'you too gayathri d hi from malaysia hehe',good
'can u tell me in brief',good
'why don\'t you just try it? turn it on for a few minutes and have a look at your new relic graphs.',good
'detectconditionnetfxfullversionquot..quot and not versionnt or netfxxfullversionquot..quot',good
'he said he ran makemigrations at step',good
'i wanna know why is nan popping out ?',good
'i think david is talking about the call in , that\'s the problematic one.',good
'argh , silly me',good
'he he..',good
'i dont want to expose my business logic. even to dba.',good
'which validation you are talking about?',good
'got it man thank you. i would vote you up but i can\'t yet.',good
'my look like this',good
'give me a minute,i\'ll test it and let u know',good
'all is good, happy it helped.',good
'all i mean is integrating their apis for these stuffs',good
'can u pls explain?',good
'this guy deserve a cookie',good
'u there ?..',good
'alright man i get you',good
'but he is already saying .',good
'scipts? really? i\'m such a dumbass lol. thanks for your help sir!',good
'this-db-queryselect from . this-db-db-dbprefix\'bridegroomregister\' . where gender male and age \'.age.\' and cast \'.cast.\'',good
'still helping me alot',good
'even d',good
'just someone stole it from me, need to disconnect him in that way',good
'no, no i expicity no not want to mock. d',good
'because some times i take my brain out and play with it and forget to put i back. o.o . i combined them and hit the delete button here.',good
never,good
'can u please tell me how can i achive this??',good
'let\'s say bogart dog.new\'the book\', \'the road not taken\'',good
'congrats on k',good
'he already knows that doesn\'t throw a warning, he\'s asking why only one asterisk does.',good
'like this cat a a a b b b c c c d d d',good
'happy to hear that',good
'd sorry. typing latex is so boring that your brain kinda just switches off mid-way and blindly follows what you\'ve written on the piece of scrap paper in front of you',good
'wire a mobile phone to your webservice and send the sms.',good
'dude! this .tolist of yours saved me a day!',good
'glad to help u',good
'change and watchlist.watchzip to and watchlist.watchzip in ?',good
'you are the man .. thank u',good
'hi all stack overflow is here',good
'i made a missprint, sory',good
'because it is not json',good
'google is your friend.',good
'i\'m an idiot. it\'s under the advanced action script . settings available by clicking on the wrench icon under publish settings. i\'ll update this with an answer at some point, unless you want to and you want some free rep points.',good
'i am new to jvm, why cms will stop the world while young gc?',good
'this was driving me mad, thanks!',good
'they are non-standard if you\'re talking about the a promise spec',good
'this guys is a genius . don\'t miss joaquin phoenix either !',good
'lol.. you beat me to it',good
'hahahaha..done.thanks man..i feel stupid you know',good
'good catch. that\'s why i hate the rc notation d',good
'i must be having an idiot moment over here, but i can\'t seem to find anything helpful i think as to how i could fill a form with session data that i\'ve saved on the last failed submission.',good
'it works oh my goodness. thank you so so much!! i wish i could give you a trillion thumbs up. you\'re amazing thank you. i learned some js and how to scroll today! thank you!',good
'yeah i need to get some solid understanding about these',good
'done. may python gods be with you my friend.',good
'this has been eating my head all day.. i wish i could give more upvotes',good
'no i have not, ill give that a go.',good
'are you thinking setcurrentvalue? omg i should\'ve kept my mouth shut, this stuff is a nightmare.',good
'- the problem with that is, it does not show the result in storyboard, only at run time. it\'s one of apple\'s biggest fuck-ups. the fact that uitextview has margins is stupidity on an epic scale.',good
'down voted why?',good
'c lets you shot yourself in the foot. c lets you blow your whole leg off',good
'cant believe i saw that \'string args\' so many times after a whole year and it never occured to me wtf it was untill now ! haha',good
'np happy to help you',good
'thank you! i confess i am an idiot!',good
'yes have you ever made a game on appstore?',good
'i didn\'t get you if u plus it, why will it minus bro?',good
'we are still waiting',good
'ai, me stupid',good
'i was just wandering why he didn\'t',good
'he specifically said he wants to avoid this.',good
'hot hell your braces and alignment are totally weird',good
'i know you told me about those, but i don\'t understand what they\'re doing. i went to take a closer look and still nothing.',good
'you are a genius man.',good
'typing a bunch in',good
'nope, you are right, i\'m an idiot. i think i confused myself trying to think this through. if you edit your answer maybe add a quick demo with jsfiddle or something, i\'d be happy to reverse my vote. there\'s an example in the link that the o.',good
'i don\'t know what you are talking about i\'m new to this',good
'can i just say your awesome for helping me out here!',good
'arr, you beat me to it, i was struggling with the debugger for a while',good
'people don\'t like simple questions because they think why didn\'t he do his own research first?',good
'you\'re right, that was stupid of me.',good
'those are the same mistakes i made in the beginning . almost wripping all my hair off after hours not seeing why stuff like that happened . have hair left though slightly more gray today',good
'like for peptide aaretn score will be ...... a a r e t n',good
'what\'s phyton? never heard of it',good
'that\'s ok, you guys had me questioning myself for a while there!',good
'oh yeah my fault thankyou.',good
'solved! thanks man i got the true path for the folder and its worked like a dream!! you my friend are a life saver!',good
'yeah i\'m sure i wanna do this',good
'they are all',good
'i think that i have made everything by rules. may be i not good at english.',good
'can someone say me what have i made not so?',good
'hrs ago i was trying to do the same thing, but no luck. just going sleep now, i didn\'t think it\'s gonna be this hard or i\'m just tired to figure it out.',good
'solved! thanks man i got the true path for the folder and its worked like a dream!! you my friend are a life saver! - you\'re most welcome dave.',good
'i think you\'ve got me mixed up with someone else',good
'i wanna make imageview as a plane and textview on it.it\'s like a chess game mr.',good
'thats what i was thinking, just got my math a little bit wrong, thx!',good
'you got my problem right ! i\'ll try this and let u know!',good
'can u explain me what is the meaning of ?',good
'how should i get my keystore back from my old apk on playstore?',good
'wow i didnt notice it, good catch',good
'nice ans .thank u so much',good
'i\'d like to have more parallel workertthreads and everyone should have his own timerelapsed event.',good
'well i dont intend to insult anyone specially thoese who are trying to help..',good
'it woud be a filter of date which i will give to user to select for demo purpose i have put month manually',good
'your rocks ! thumbs up for you',good
'oh gosh thats such a stupid mistake rip..',good
'yeah still no luck tho',good
'can you let me know why you unmarked me?',good
'bro i have edited cn u see that nd tel me',good
'wow. this is just awesome! you made my day!',good
'yeah i know the number of sdlrect, for that u make rectssize.',good
'can you tell me why?',good
'u there?',good
'may you help me , bro !',good
'dropbox.comshrveozfjiyylkwaaduxlrhtuvudfbtyhzgua?dl here you go',good
'oh man! you nailed it. i have been thinking around for hours and you did it just like that. thanks.',good
'i didn\'t understand it at all. even my friends didn\'t.',good
'wats da doubt.didnt get you',good
'my temp mail id inbox',good
'are you talking about the annotations?',good
'have u succedded?',good
'well guys think of the dailyhours as a total of units like a car\'s km',good
'many thanks to everyone who contributed to this, i was totally over thinking it !',good
'this is like i have my spec on my head and i am searching all over the world.',good
'that\'s why i\'m still a student and you\'re a master. -',good
'the asterisks is being interpreted literally',good
'wait. u mean change y to x?',good
'jay-sun, mother of owen, father of none.',good
'nvm. im an idiot. i piped it into gm and forgot to use inputobject. it is a string array. i have a better solution though than what was suggested here.',good
'saved my life d',good
'are you getting like me?',good
'you\'re talking about animations?',good
'at least i\'m helping people',good
'i beat by seconds!',good
'too cool! you rock soda!',good
'im really sorry but right now i cant give my site address.',good
'ah damn but it still runs the test. that is lame',good
'may go for a toss when day name is more than characters',good
'where u are calling ?',good
'i love stack overflow',good
'i realize now that infinidb has gone out of business!',good
'let me know how fast it is for your k lines!',good
'actually i am a big fan of demotivators . loaded my office hallways up with them. but seriously, if you need help, chat away in',good
'why do you hate indentation?',good
'i was going to till somebody beat me to it.',good
'ok, im an idiot, i did n instead of \'n\'.',good
'do u mean to freeze the st column and make the follow when ur scrolling?',good
'why is new value for ? doesn\'t follow your rule literally.',good
'so we\'re saying here, right?',good
'i\'m happy i could be of assistance. happy coding',good
'have fun - hope she appreciates the effort',good
'ok that\'s what i think too. shall we just clean up these comments?',good
'on a side note, it upsets me that it has taken me days of banging my head against a wall to figure this out.',good
'just curious, have you considered nolock, some hate it, others swear by it.',good
'i know, i know. but for now i just wanna deal with these problems. i\'m a newbie.',good
'oh they\'re coming out as nonetype.',good
'i don\'t follow what you are saying',good
'oops, i have been away from php for a little while lol',good
'am i the only idiot that can\'t figure out where the download links are on the maven repository artifact pages?',good
'yeah fair enough, just re-iterating what he has said to other qs. i\'m gonna give a few of these answers a go and see how i get on. thanks for taking the time to pitch onetwo in',good
'this held me up for like days',good
'do you have a music player app?',good
'here you go codepen.ioanonpennajqxa',good
'i succeeded. i just crawled some famous twitter accounts and their followers.',good
'select u.firstname,u.middlename,u.lastname from users u inner join location l on l.userid u.userid and u.createtime dateaddd,-,convertdate,getdate and u.createtime convertdate,getdate or u.updatetime',good
'saved my life bro',good
'thnx all friend now i understand what to do.thnx again?',good
'give me the real url so that we can help u',good
'its not playing the video at all even at good bandwidth',good
'worked for me. you made my day',good
'it tooks me hours too',good
'if chkadministrator.checked true hasvaluetxtlusername.text true hasvaluetxtlpassword.text true try isadmin true adminlogindb.',good
'can u explain me clearly how to get the group name',good
'stringhalanki sur ke jivan ke baare me kai janshrutiya prachalit hai like this',good
'only f red, the ather black',good
'glad it helped. my friend',good
'can u come to chat room i want to discuss with you',good
'no prob im here ask to me what do you want',good
'why are you supporting ios ?',good
'ya got it thanx',good
'didn\'t you know that people hate fun on so?',good
'ywa all thanks to u',good
'thank you very very and very much!.',good
'd i know those erros can keep you awake for many days',good
'yeah they are in sf',good
'playercontroller avplayerviewcontroller allocinit playercontroller.player avplayer playerwithurlvideourl self presentviewcontrollerplayercontroller animatedyes completionnil',good
'sometimes i take his help and sometimes he takes mine. we both are good friends. this one was our combines effort.',good
'so many rules',good
'bro you made my day!!',good
'damn, i feel stupid right now, thanks for your reply!',good
'im actually talking about this part',good
'sorry buddy i forgot to up vote now i have up-voted.but really u saved my day.great work man',good
'damn feels like a stupid question now',good
'object reference not set as an reference of an object',good
'yes this line is giving error',good
'and d.id is null',good
'never use gotlostfocus, always enter and leave.',good
'kiss. was typing this up -- you beat me by seconds.',good
'lol . i knew i was forgetting something d',good
'when we are talking about winforms',good
'lol didnt get that',good
'yeah i got that now',good
'moving on - i hope all is well with you my friend.',good
'chehh, can you expand on that a little i\'m not too experienced.',good
'excellent. gonna learn myself some dplyr and tidyr now',good
'but he wants the multiplication.',good
'thanks, paulw you cool man',good
'thx for answering. sadly i am too much of a oop-idiot to understand where these referneces are pointing to.',good
'ya thats it. y',good
'all allowing that why am worried',good
'youre right, thx alot',good
'im referencing reference includenewtonsoft.json, version..., cultureneutral, publickeytokenadfebaaeed, processorarchitecturemsil hintpath....packagesnewtonsoft.json...libportable-netslwp.',good
'ok, wait a little',good
'yeah that too.',good
'its a bitwise and',good
'actually i feel stupid now, i don\'t know why i didn\'t think of that',good
'transactionwithblock is literally just a shortcut for beginwritetransaction commitwritetransaction',good
'a clever hack, but emoji don\'t work as they just become filled in by the shadow ??',good
'that worked wonderfully. thank you. you saved me a lot of time and provided some good information for me to investigate and experiment with file, matchcollection, etc..',good
'yes but when i have my button listening in my main activity and i give him the variable i how do my custom adapter knows that i the the value to have in getcount ?',good
'i tried to dynamically switch the x,y coordinates.for example if i press the forward button i decrement the y value and then draw path on the canvas from initial value to the updated value.but in doing this after taking the left rotation i forward butt.',good
'hm i\'m an idiot. i was trying to do instead of . just switched from windows to mac . thank you',good
'scentist ah? enna da solre?',good
'so u wanted me to call the setresult after calling startactivityforresultintent, this?',good
'as suggested, word detection can be extremely difficult often requiring machine learning, and ai algorithms and introduce a whole wealth of natural language ambiguities, your data source should be fixed.',good
'see stackoverflow.comquestions',good
'ok daniel, how i don\'t know where are you, but if you want i can buy you a ticket to get here and give me some punches on my empty head. i think it was all about leading slash.',good
'oh yeh that was pretty stupid of me. been a long day but thanks',good
'well, you don\'t have to use a mocking framework. you can always create mock classes yourself! and honestly if your hands are really handcuffed like this and you are not allowed to do the things that make sense you better turn back to your manager .',good
'then you can\'t read from it. as a workaround, and depending on how much work you want to put in, and how hacky you want the solution to be, you could look in to writing a test application using teststack from white',good
'let\'s hope you\'re right ??',good
'hopefully helped op, got rep, today was a good day',good
'looks like he did, but i don\'t think thats the cause of his error.? is it?',good
'oh yeah.. i said that, haven\'t i?. - lol',good
'im sorry im unclear abt ur question what ur asking with me',good
'when you say parameter name are you talking about ?',good
'when pushing they don\'t change to automagically anymore at least for me they don\'t.',good
'bryan so how can i do full back up as you said?',good
'stupid me and genius you',good
'i\'d go a re-factor it all based on your suggestions, but i have retired half a year ago. i\'ll be always open to learning after writing such bad code for years.',good
'did my answer assist at at? it takes time to actually write them up. feedback is appreciated that is our pay.',good
'have you seen the uptime of my box yet? but seriously, there is no guarantee that nanotime starts at so it wraps every years, but potentially much earlier than years after booting up.',good
'whether you know it or not, you entered more than one character. count how many times you hit a key on your keyboard don\'t leave anything out.',good
'stationplaylist.comairtel.mpg white',good
'questions asking us to recommend or find a book, tool, software library, tutorial or other off-site resource are off-topic for stack overflow as they tend to attract opinionated answers and spam. instead, describe the problem and what has been done so far to solve it.',good
'this isn\'t a tutorial or how to site. read the documentation for their api\'s',good
'when you get help with your problem, don\'t just leave or soon people will stop helping you. you haven\'t selected an answer for any of the questions you\'ve posted, including this one. is my reply not helpful?',good
'no as you said that already answered here. then according to rule is you must share answer as comment. rather than giving as separate answer. and if you don\'t have enough rep. then please wait.',good
'when the buttons appear the spam a chat button is almost at the top and raise your kappa is at the bottom. it seems like the length of the text is the decider but i want to change that',good
'language english, spanish , languagechoice english, english must be',good
'wow really?, i moderator of a programming community who has never heard of classic asp.oh well.',good
'yeah, put up a big fat warning',good
'billions of documents are printed every week, millions of printers run out of paper, without ever needing the help of system.printing. you\'ll learn to live without it.',good
'global variables - disgusting. why do you people prefer some terrible code when you can have a concise and readable one',good
'forcing a gc is a bad idea! you need to stop the memory leak not try and cover it up.',good
'please don\'t use the old phpexcel.codeplex.com site anymore we\'ve been trying to get rid of it for ages. phpexcel moved from codeplex to github.comphpofficephpexcel four years ago',good
'you need to move the rule that forces https above your normal rules.',good
'mother teresa is that you? great to know that you\'ve taken up coding!',good
'okay, and where did you get stuck when you attempted to write this yourself? what part, or parts, don\'t you understand or struggle with?',good
'guys!! this is a genuine question. stop downvoting the op.',good
'yes, get work successfully. error message tells about error while handling another error. so, verbfilter giving two errors. like i attached verbfilter twice. but i don\'t. wtf.',good
'never mind, i\'m rather addicted to rep points collection and developers have to stick together! btw i\'ll delete my unrelated comments after some minutes.',good
'a picture is worth a thousand words',good
'who did down vote my answer?tell me the reason.',good
'down vote for syntactical and grammar mistake !! seriously!!',good
'i might be completely wrong, but i wouldnt expect that optimizations have to restrict to a compile as-if. as i understand, the as-if rule does not include things that are undefinedunspecified anyhow.',good
'i\'m in a hostel without a laptop and a computer with java compiler and i\'m learning java out of curiostity out from a book',good
'problem is i do. i had a lot of problems with because nothing from there was seen by linuxdax.h for example, had to spend extra time to make it stop spamming errors. although maybe i\'m not including somewhere else. i\'ve lost clue at this point probably with parts of my sanity.',good
'i couldn\'t find anyone looking for sending an email without password authentication -- that is because mail servers require passwords to be able to send email, at least from arbitrary ip addresses. otherwise, spammers would be very happy.',good
'just a guess because we don\'t have much information to go off of here but is probably the culprit.',good
'recommending memmove over rotate doesn\'t seem like such a good idea. maybe complain to your compiler vendor if they don\'t generate good code for rotate?',good
'i just confused why some of those earlier answers were to monkey patch the global',good
'can you please delete these comments, its gettin a lil bit spammy, we can discuss in a chatroom if you want. chat.stackoverflow.comroomsmatplotlib-discussion',good
'i make a fool out of myself all the time.',good
'anyway, i gotta go to bed. maybe next time you might reward people with rep if they help you for hours.',good
'first you have to get to know the owincontext.request.query well enough to find something that makes it feel inadequate. i googled owincontex.request.query flaws but didn\'t find anything good to work with. so in that case we can just resort to basic name-calling and hope that it\'s sensitive. you stupid, stupid owincontext.request.query! point at it and laugh. but when it starts to cry your conscience will bother you, sending you into a spiral of self-hatred and futile attempts to restore self-esteem through even more witless mockery.',good
'there isn\'t such a requirement, but people are also free to vote as they like. low quality answers to duplicate questions often attract downvotes. sometimes even delete votes.',good
'outbound smtp is pretty much universally blocked from home consumer netblocks as an anti-spam measure. you basically can\'t run a mail server on a home adsl any longer becaue s\'ammers poisoned that well too.',good
'here\'s a blog post i wrote just a week ago on this exact subject. how convenient!',good
'nothing to do with php. it just walks your envelope down to the street corner and tosses it into the mailbox smtp server. if hotmail doesn\'t get the mail, that\'s not php\'s problem. it\'s the postal service\'s e.g. spam folderfilters',good
'very useful and convenient things. you can always ask about him in chat or in the channel of slack he is more active',good
'i got rid of the japanese characters with the help of google translate to avoid spam errors',good
'you really need to properly format your code. it\'s near impossible to read.',good
'than you rojo you are awesome, amazing answer!',good
'your lapply has looped over files, you need to ass a second loop over sheets to get what you want.',good
'the filter is just a doctrine query so it has no real connection to the flushing process. a far easier way to hard delete would be to to run the the twice. the first flush would set the to now. the second would recognise that the has been set previously and will ignore actually delete - ass you can see here github.comatlanticdoctrineextensionsblobmasterlibgedmo.',good
'i don\'t have time to go through all of that and i doubt ill learn it from there all i want is for someone to give me a clue and ill do the rest myself',good
'the code they have in their tutorial is what i have in mine in swift and that works. there is more involved but that doesn\'t mean that their work is wrong. maybe i should\'ve clarified that. right now i\'m using',good
'off topic but i just wanted to say that your project idea is ingenious. keep going!',good
'if you got time please contact me at chat.stackexchange.com,and if you are up there,please leave me know you are there by leaving a comment here thanks',good
'i think you can\'t except if your notification is a silent notification. but if you dont have access to server-side code, you just can\'t to id',good
'i just don\'t get it.. does downvoting provde points to voters, it is necessary that people who downvote questions at least add a comment as to their reason to downvote',good
'cool bro. u r intellectual',good
'you have a problem with your specifications of the problem. what defines what matchwholewords means? in this fiddle, you mean you want q to be replaced, but in q., the . should be a word boundary, b',good
'surely even compilers for low-levelembedded systems are smart enough to optimize a division by a power of two to a bit shift? no one writes because they actually want a divide instruction, but because it is clearer to a human being than but equivalent to a compiler.',good
'you can show api documentation, i fink you need one array not twoo .',good
'why the hell would you tag people you only just found via search? now that sounds like the very definition of tag spam.',good
'i\'m voting to close this question as off-topic because it looks like a spam precursor post it\'s an exact duplicate of this answer stackoverflow.coma',good
